breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,extracted_paragraph,extracted_image_url
Basset Retriever,https://dogtime.com/dog-breeds/basset-retriever,3,3,3,2,2,4,4,4,4,4,3,4,3,2,2,4,4,4,3,4,4,5,3,5,2,4,4,4,2,4,4,Mixed Breed Dogs,10 to 14 inches,40 to 70 pounds,10 to 12 years,"The Basset Retriever is a mixed breed dog–a cross between the Basset Hound and Golden Retriever dog breeds. Friendly, affectionate, and intelligent, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/11/basset-retriever-mixed-dog-breed-pictures-cover.jpg?w=760
Bavarian Mountain Scent Hound,https://dogtime.com/dog-breeds/bavarian-mountain-scent-hound,2,2,3,2,2,2,3,4,5,4,3,2,3,1,2,3,4,2,3,3,3,4,2,4,2,2,4,4,2,4,4,Hound Dogs,17 to 20 inches.,44 to 55 pounds. ,10 to 14 years. ,"The Bavarian Mountain Scent Hound, also known as the Bavarian Mountain Hound, originated in Germany. Developed in the 19th century, this stunning breed came from the Bavaria region in the southeast of Germany. Breeders specifically bred this dog for its exceptional scenting abilities, making it an ideal companion for tracking and hunting in challenging mountain terrains.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-615331764-e1691095708411.jpg?w=1024
Beabull,https://dogtime.com/dog-breeds/beabull,3,4,3,4,4,2,2,4,5,5,4,3,4,4,3,5,3,4,3,4,3,3,4,4,4,4,4,3,4,3,5,Mixed Breed Dogs,12 to 16 inches,30 to 60 pounds,10 to 13 years,"The Beabull is a mixed breed dog — a cross between the Beagle and the English Bulldog breeds. Loyal, curious, and loving, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/12/beabull-mixed-dog-breed-pictures-cover.jpg?w=760
Beagle,https://dogtime.com/dog-breeds/beagle,3,4,3,4,1,2,4,5,5,5,5,5,3,3,1,4,1,5,2,4,1,4,3,5,5,5,5,4,5,4,5,Hound Dogs,"1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder",18 to 30 pounds,10 to 15 years,"The Beagle is a small-sized scent hound from England who was primarily bred to track small game such as rabbits and foxes. With a short, smooth coat in various colors, including white, black, brown, and tan, the Beagle is known for their happy-go-lucky spirit. It’s rare to see these little dogs without their tails wagging. The Beagle temperament is characterized by friendliness, playfulness, and intelligence. Their incredible sense of smell can lead them astray if they catch a scent during outdoor walks, so owners should ensure their dogs are on a leash to prevent them from wandering too far. They are still used for hunting today but are also popular as companion dogs. This breed is relatively low-maintenance, only requiring regular exercise and grooming.",https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-157603001-e1701106766955.jpg?w=1024
Beaglier,https://dogtime.com/dog-breeds/beaglier,3,5,4,4,1,2,3,5,5,5,5,5,3,3,1,4,2,5,2,3,2,4,3,3,4,4,4,3,3,4,5,Mixed Breed Dogs,12 to 16 inches ,10 to 20 pounds,10 to 15 years ,"The Beaglier is a mixed breed dog — a cross between the Beagle and Cavalier King Charles Spaniel dog breeds. Compact, energetic, and loyal, these pups inherited some of the best qualities from both of their parents. Beaglier is also spelled Beagalier and Beagelier. Despite their unfortunate status as a designer breed, you may find these pups, in shelters and rescues. So remember to adopt! Don’t shop!",https://dogtime.com/wp-content/uploads/sites/12/2023/09/Screen-Shot-2023-09-09-at-10.56.38-AM.png?w=1024
Bearded Collie,https://dogtime.com/dog-breeds/bearded-collie,3,3,4,4,2,4,3,5,5,4,5,4,3,4,1,2,3,4,3,4,5,4,3,3,3,5,4,4,4,4,5,Herding Dogs,"1 foot, 8 inches to 1 foot, 10 inches tall at the shoulder",45 to 55 pounds,12 to 14 years,"Scottish breeders developed the Bearded Collie dog breed to herd sheep and cattle in any weather or terrain. Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. ",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-106395374-e1694029838848.jpg?w=1024
Bedlington Terrier,https://dogtime.com/dog-breeds/bedlington-terrier,4,4,4,3,3,4,3,5,5,4,4,5,3,5,1,1,4,3,3,4,3,5,4,5,3,4,4,4,2,4,5,Terrier Dogs,"1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder",17 to 23 pounds,14 to 16 years,"The Bedlington Terrier dog breed originated as a killer of vermin and hunter’s sidekick. While their unique appearance and dapper lamb-like coat may make them seem a little less ferocious, these dogs excelled as small hunters. Today, Bedlingtons primarily shine as companions and in the show ring. Although they still have excellent hunting instincts, a keen sense of smell, and the will to go to ground, they are rarely used in the field.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-952818676-1-e1695321471712.jpg?w=1024
Belgian Malinois,https://dogtime.com/dog-breeds/belgian-malinois,3,1,3,5,3,4,4,4,5,4,2,3,3,2,1,5,4,2,4,4,5,5,3,4,2,3,5,5,4,5,5,Herding Dogs,22 inches to 26 inches tall at the shoulder,40 to 80 pounds,12 to 14 years,"The Belgian Malinois, one of the four Belgian Shepherd breeds, is a large herding dog with a loyal nature and strong work ethic. The Malinois, pronounced “mal-in-wa,” may sometimes be mistaken for a German Shepherd. Like the other Belgian Shepherds, Belgian Malinois are high-energy dogs who thrive on physical activity. They possess remarkable stamina and require regular exercise to stimulate them mentally and physically. This Belgian dog breed is renowned for their intelligence, agility, and athletic abilities.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-482598287-e1689368698804.jpg?w=1024
Belgian Sheepdog,https://dogtime.com/dog-breeds/belgian-sheepdog,4,3,3,5,3,4,3,5,4,5,5,4,3,5,1,3,3,2,4,4,5,5,2,5,1,4,5,5,3,5,5,Herding Dogs,"1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder",60 to 75 pounds,10 to 12 years,"The Belgian Sheepdog, also called the Groenendael, is one of the four Belgian Shepherd herding breed varieties, along with the Belgian Laekenois, the Belgian Malinois, and the Belgian Tervuren. The Belgian Sheepdog is sometimes called the Chien de Berger Belge or Belgien Shepherd. However, it’s important to note that these names refer to the entire herding breed category, not the distinct breed.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1198791373-e1695840179194.jpg?w=1024
Belgian Tervuren,https://dogtime.com/dog-breeds/belgian-tervuren,3,3,3,5,1,4,3,3,4,3,3,3,3,4,1,3,3,2,4,4,5,5,2,2,5,4,4,5,3,4,5,Herding Dogs,"1 foot, 9 inches to 2 feet, 2 inches tall at the shoulder",40 to 70 pounds,10 to 12 years,"Originating in Belgium in the late 19th century, the Belgian Tervuren dog breed is often considered to be the most elegant of the four Belgian sheepdogs. They’re intelligent and athletic, making them a versatile performer in any number of activities, including their original job, herding.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-872002846-e1694032121253.jpg?w=1024
Berger Picard,https://dogtime.com/dog-breeds/berger-picard,4,3,4,5,3,4,3,4,5,5,3,2,4,4,1,5,5,3,4,3,4,4,2,3,2,2,5,5,3,5,5,Herding Dogs,"1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder",50 to 70 pounds,13 to 14 years,"Also known as the Picardy Shepherd, the Berger Picard dog breed is considered one of the oldest of the French sheepdogs. The breed can be recognized by its shaggy coat, trademark erect, wedge-shaped head and expressive, dark almond-shaped eyes. This sheepdog’s origin begins centuries ago in the Picardy region of northern France. Farmers primarily used the breed for herding livestock, including sheep and cattle.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-180391527-e1695061860356.jpg?w=1024
Bernedoodle,https://dogtime.com/dog-breeds/bernedoodle,3,3,3,4,2,5,3,4,5,5,4,3,3,1,2,3,4,3,3,4,4,5,4,3,3,3,4,4,3,3,5,Mixed Breed Dogs,"From 10 to 29 inches tall at the shoulder, as sizes vary from tiny to standard",From 10 to 90 pounds,12 to 18 years. Tiny Bernedoodles tend to live longer than standard.,"The Bernedoodle is a cross between the Bernese Mountain Dog and the Poodle. “Invented” in 2003, Bernedoodles and their smaller hybrid relatives, the Mini Bernedoodle, have exploded in popularity ever since, with some becoming social media stars. One of the most notable characteristics of this breed is their intelligence. As descendants of Poodles, famous for their sharp minds, this breed exhibits remarkable cognitive abilities. Loyalty is another inherent trait in this breed from their Bernese Mountain Dog heritage. Incredibly devoted to their pet parents, this breed strives to be a constant source of comfort and companionship. Whether it’s learning new tricks or obedience commands, they are quick studies and enjoy mental stimulation",https://dogtime.com/wp-content/uploads/sites/12/2017/10/GettyImages-962709956-e1693706990967.jpg?w=1024
Bernese Mountain Dog,https://dogtime.com/dog-breeds/bernese-mountain-dog,2,1,2,4,1,5,1,5,5,5,3,5,4,5,4,3,1,4,5,4,4,4,5,5,4,3,4,4,3,3,4,Working Dogs,23 to 28 inches,70 to 115 pounds,6 to 10 years,"The Bernese Mountain Dog is a large working breed from the Swiss Alps known for their distinctive tricolor coat of black, white, and rust. These fluffy dogs, weighing between 70 and 115 pounds, are known for their calm, affectionate temperament — earning them a reputation as devoted family companions. Bernese Mountain Dogs are intelligent and relatively easy to train, making them well-suited for active families with children. Because they originated in the canton of Bern in the Swiss Alps, they’re often called “Berners.” They were first bred to pull carts, herd livestock, and protect their families from predators. In fact, they were brought to the United States in the 1920s for farm work. Today, these devoted pups serve as working dogs, therapy dogs, or service animals, but they’re increasingly popular as family pets. ",https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-537870596-e1701102761329.jpg?w=1024
Bichon Frise,https://dogtime.com/dog-breeds/bichon-frise,4,5,5,5,1,3,4,5,5,4,4,5,2,2,1,1,4,4,2,3,5,4,3,4,2,2,4,5,3,3,5,Companion Dogs,9 inches to 11 inches tall at the shoulder,7 to 12 pounds,12 to 15 years,"The Bichon Frise (pronounced BEE-shawn FREE-say; the plural is Bichons Frises) is a cheerful, small dog breed with a love of mischief and a lot of love to give. Their black eyes and fluffy white coat make them look almost like a child’s toy. this breed is a great option for those looking for a small dog that doesn’t shed — or at least doesn’t shed much. Even with hypoallergenic dogs, it’s hard to determine how hypoallergenic they’ll be.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-514367196-e1692032817448.jpg?w=1024
Biewer Terrier,https://dogtime.com/dog-breeds/biewer-terrier,3,5,3,3,3,2,3,4,5,4,3,3,2,1,1,4,4,3,1,3,3,4,3,1,3,1,4,5,3,3,4,Terrier Dogs,7 to 11 inches,4 to 8 pounds,12 to 15 years,"The Biewer Terrier, also called the Biewer Yorkie, is a rare purebred dog created through the occurrence of a recessive piebald gene in two Yorkshire Terriers. These dogs are friendly, playful, and energetic, which are some of their best qualities. The Biewer Terrier, pronounced like “beaver,” is also known by the names Biewer à la Pom Pon, or Biewer Yorkshire. You may be able to find Biewer Terrier dogs at shelter and rescues, so remember to adopt! It’s always better than shopping!",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1569169973-e1694190546405.jpg?w=1024
Black and Tan Coonhound,https://dogtime.com/dog-breeds/black-and-tan-coonhound,3,1,2,3,2,4,4,5,5,5,5,5,4,5,3,4,5,5,3,4,2,5,1,5,5,5,5,5,5,5,5,Hound Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",75 to 100 pounds,10 to 12 years,"The Black and Tan Coonhound, one of six Coonhound breeds, is an outgoing, friendly, and athletic dog. While they can be highly skilled working dogs, they also make great companions. These beloved dogs bring joy to homes and serve as playmates, jogging or walking partners, and even lovable companions for days spent lounging on the sofa.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-531223775-e1692805403967.jpg?w=1024
Black Mouth Cur,https://dogtime.com/dog-breeds/black-mouth-cur,3,1,2,4,2,3,3,4,5,5,3,3,3,3,2,5,4,2,4,4,3,4,3,5,4,4,4,4,3,5,4,Working Dogs,16 to 25 inches,40 to 95 pounds,12 to 18 years,"The Black Mouth Cur is a medium to large-sized dog breed from the United States. They are used to hunt a broad variety of game, including bear, feral pig, raccoon, deer, and squirrel. This breed excels as hunters and usually catch and kill game on the ground, although they will also tree and bay game.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1440971786-1-e1695316015872.jpg?w=1024
Black Russian Terrier,https://dogtime.com/dog-breeds/black-russian-terrier,3,3,2,4,1,4,3,4,5,5,2,3,3,2,3,2,3,3,5,4,4,4,4,3,3,3,5,4,5,4,5,Working Dogs,26 to 28 inches at the shoulder,80 to 140 pounds,10 to 11 years,"The Black Russian Terrier, often referred to as the BRT or the “Black Pearl of Russia,” is a large and powerful breed known for its imposing presence and protective nature. This breed was originally developed in the mid-20th century in the Soviet Union for military and police work. It is a crossbreed, with influences from various breeds such as the Rottweiler, Giant Schnauzer, Airedale Terrier, and Newfoundland. The Black Russian Terrier is characterized by its solid black coat, which is dense, coarse, and slightly wavy. They have a distinctive beard and mustache, which adds to their striking appearance.",https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1187418372-1-1-e1697988547920.jpg?w=1024
Bloodhound,https://dogtime.com/dog-breeds/bloodhound,3,1,2,4,2,3,3,5,5,5,5,5,3,4,5,1,3,3,4,4,3,4,5,3,4,5,4,5,4,5,3,Hound Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",80 to 110 pounds,11 to 15 years,"The Bloodhound, one of the many illustrious Hound dog breeds, dates back to medieval France. Initially bred for trailing deer and boar, they have evolved into a highly active and intelligent breed. Their exceptional sense of smell earns them a vital role in law enforcement and search and rescue operations. Fans of this breed adore their gentle disposition and iconic appearance. With a muscular build, wrinkly skin, extra-long ears, and an incredibly powerful nose, the Bloodhound possesses a distinctive look.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-823894968-e1690932136652.jpg?w=1024
Blue Lacy,https://dogtime.com/dog-breeds/blue-lacy,3,1,1,4,2,4,5,3,4,3,2,2,3,3,2,5,4,2,3,5,5,5,4,5,5,4,5,5,5,5,4,Working Dogs,17 to 25 inches,25 to 50 pounds,12 to 16 years,"The Blue Lacy, or Lacy Dog, is full of energy, smart, and easy to train. They do best when they have a job to do and plenty of room to move around. Despite their name, their coats can be red or tri-colored, but they all have the blue color gene. Originating in 19th-century Texas, Blue Lacys were bred for herding, hunting, and ranch work. Their robust nature, adaptability, and quick learning abilities make them unsuitable for apartment living or novice owners due to their high intensity and energy.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-173549958-e1694386494868.jpg?w=1024
